entity_id,canonical_entity,entity_type,review_status,total_count,chapters,extraction_methods,notes
date__1964,1964,Date,candidate,8,7; 9; 12,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1970,1970,Date,candidate,8,11; 12,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1972,1972,Date,candidate,8,10; 11; 12,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1934,1934,Date,candidate,6,1; 2; 12,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1941,1941,Date,candidate,6,2; 12,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1988,1988,Date,candidate,6,2; 8; 12,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1924,1924,Date,candidate,4,1; 12,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1926,1926,Date,candidate,4,1; 12,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1927,1927,Date,candidate,4,1; 12,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1936,1936,Date,candidate,4,2; 5; 12,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1957,1957,Date,candidate,4,6; 12,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1835,1835,Date,candidate,2,5; 12,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1845,1845,Date,candidate,2,5; 12,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1860,1860,Date,candidate,2,5; 12,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1882,1882,Date,candidate,2,5; 12,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1916,1916,Date,candidate,2,1; 12,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1917,1917,Date,candidate,2,1; 12,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1918,1918,Date,candidate,2,1; 12,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1928,1928,Date,candidate,2,1; 12,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1933,1933,Date,candidate,2,1; 12,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1935,1935,Date,candidate,2,1; 12,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1937,1937,Date,candidate,2,2; 12,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1944,1944,Date,candidate,2,3; 12,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1951,1951,Date,candidate,2,5; 12,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1975,1975,Date,candidate,2,11; 12,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1977,1977,Date,candidate,2,1; 12,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1980,1980,Date,candidate,2,2; 12,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1982,1982,Date,candidate,2,6; 12,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1986,1986,Date,candidate,2,3; 12,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
organization__u_s_navy,U.S. Navy,Organization,candidate,66,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,Military service
organization__columbia_university,Columbia University,Organization,candidate,52,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,Graduate education
organization__uss_wasp,USS Wasp,Organization,candidate,52,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,Ship / military unit | Short form for USS Wasp
organization__brigham_young_university,Brigham Young University,Organization,candidate,43,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,College years
organization__church_of_jesus_christ_of_latter_day_saints,Church of Jesus Christ of Latter-day Saints,Organization,candidate,40,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,Religious institution
organization__central_intelligence_agency,Central Intelligence Agency,Organization,candidate,38,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,Career institution
organization__communications_workers_of_america,Communications Workers of America,Organization,candidate,24,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,Union
organization__mountain_states_telephone_and_telegraph,Mountain States Telephone and Telegraph,Organization,candidate,24,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,Telephone company context
organization__presiding_bishop_s_office,Presiding Bishop's Office,Organization,candidate,24,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,LDS church office
organization__western_electric,Western Electric,Organization,candidate,16,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,Pre-war employer
organization__idaho_falls_high_school,Idaho Falls High School,Organization,candidate,15,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,School
organization__eastside_grammar_school,Eastside Grammar School,Organization,candidate,12,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,School
organization__lincoln_school,Lincoln School,Organization,candidate,12,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,School
organization__pomona_high_school,Pomona High School,Organization,candidate,12,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,School
organization__riverside_grammar_school,Riverside Grammar School,Organization,candidate,12,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,School
organization_pla__arizona_temple,Arizona Temple,Organization/Place,candidate,14,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,Temple context
organization_pla__idaho_falls_temple,Idaho Falls Temple,Organization/Place,candidate,14,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,Temple context
organization_pla__mesa_temple,Mesa Temple,Organization/Place,candidate,12,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,Temple context
person__marion,Marion,Person,candidate,177,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,Later spouse/family reference
person__franklin_d_roosevelt,Franklin D. Roosevelt,Person,candidate,45,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,Short form for Franklin D Roosevelt | U.S. President historical context
person__richard,Richard,Person,candidate,45,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,Brother/family member
person__martin,Martin,Person,candidate,39,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,Brother/family member
person__sarah_harris,Sarah Harris,Person,candidate,36,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,Family member
person__loverna,Loverna,Person,candidate,33,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,Sister/family member
person__herbert_hoover,Herbert Hoover,Person,candidate,28,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,Short form for Herbert Hoover | U.S. President historical context
person__carmen_stevens,Carmen Stevens,Person,candidate,26,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,Short form for Maria del Carmen Stevens
person__ila_rose,Ila Rose,Person,candidate,25,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,Sister/family member
person__reuel_neilson,Reuel Neilson,Person,candidate,24,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,Friend | OCR/spelling variant for Reuel Neilson
person__solomon_r_harris,Solomon R. Harris,Person,candidate,24,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,Short form for uncle Sol | Uncle/family member
person__t_j_hurley,T. J. Hurley,Person,candidate,24,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,Variant without spaces | Western Electric boss
person__heber_j_grant,Heber J. Grant,Person,candidate,16,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,LDS president
person__jack_kelley,Jack Kelley,Person,candidate,16,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,Friend
person__joyce_mcneill,Joyce McNeill,Person,candidate,16,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,First wife
person__martin_harris,Martin Harris,Person,candidate,14,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,Great grandfather / LDS history
person__melvin_olsen,Melvin Olsen,Person,candidate,14,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,Friend
person__solomon_webster_harris,Solomon Webster Harris,Person,candidate,13,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,Grandfather/family history
person__spencer_w_kimball,Spencer W. Kimball,Person,candidate,13,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,LDS church leader
person__al_harris,Al Harris,Person,candidate,12,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,Brother-in-law
person__anthony_w_ivins,Anthony W. Ivins,Person,candidate,12,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,LDS church leader
person__clifford,Clifford,Person,candidate,12,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,Adopted son of Sol and Sarah
person__cyd_charisse,Cyd Charisse,Person,candidate,12,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,Actor/dancer reference
person__david_o_mckay,David O. McKay,Person,candidate,12,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,LDS church leader
person__elwood_heiner,Elwood Heiner,Person,candidate,12,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,Elders quorum president
person__george_albert_smith,George Albert Smith,Person,candidate,12,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,LDS church leader
person__george_f_richards,George F. Richards,Person,candidate,12,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,LDS church leader
person__harold_price,Harold Price,Person,candidate,12,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,Friend
person__harry_truman,Harry Truman,Person,candidate,12,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,U.S. President historical context
person__heber_austin,Heber Austin,Person,candidate,12,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,Stake president
person__henry_guyaz,Henry Guyaz,Person,candidate,12,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,Uncle/family member
person__j_golden_kimball,J. Golden Kimball,Person,candidate,12,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,LDS church leader
person__john_a_widtsoe,John A. Widtsoe,Person,candidate,12,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,LDS church leader
person__john_s_mccain,John S. McCain,Person,candidate,12,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,Admiral WWII context
person__joseph_fielding_smith,Joseph Fielding Smith,Person,candidate,12,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,LDS church leader
person__lester_allan_harris,Lester Allan Harris,Person,candidate,12,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,Brother-in-law full name
person__louis_f_nuffer,Louis F. Nuffer,Person,candidate,12,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,Bishop/teacher
person__lucy_guyaz,Lucy Guyaz,Person,candidate,12,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,Aunt/family member
person__maria_del_carmen_stevens,Maria del Carmen Stevens,Person,candidate,12,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,Richard's wife
person__mary_anderson,Mary Anderson,Person,candidate,12,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,Family source
person__maryette_rice_harris_standley,Maryette Rice Harris Standley,Person,candidate,12,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,Grandmother/family history
person__nathan_harris,Nathan Harris,Person,candidate,12,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,Cousin/lawyer story
person__raymond_spruance,Raymond Spruance,Person,candidate,12,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,Admiral WWII context
person__reed_smoot,Reed Smoot,Person,candidate,12,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,Senator/church figure historical context
person__richard_r_lyman,Richard R. Lyman,Person,candidate,12,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,LDS church leader
person__roger_williams,Roger Williams,Person,candidate,12,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,Providence historical reference
person__rudger_clawson,Rudger Clawson,Person,candidate,12,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,LDS church leader
person__rulon_price,Rulon Price,Person,candidate,12,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,Friend
person__stephen_l_richards,Stephen L. Richards,Person,candidate,12,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,LDS church leader
person__sylvester_q_cannon,Sylvester Q. Cannon,Person,candidate,12,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,LDS church leader
person__tony_martin,Tony Martin,Person,candidate,12,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,Singer/naval training reference
person__tyrone_power,Tyrone Power,Person,candidate,12,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,Actor/naval instructor reference
person__vern_l_brown,Vern L. Brown,Person,candidate,12,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,Bishopric member
person__wiley_snarr,Wiley Snarr,Person,candidate,12,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,Farm employer/church connection
person__wilmer_norton,Wilmer Norton,Person,candidate,12,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,Friend
place__rio_de_janeiro,Rio De Janeiro,Place,candidate,108,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,Foreign service post | Short form for Rio De Janeiro
place__idaho,Idaho,Place,candidate,97,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,State/geographic setting
place__washington,Washington,Place,candidate,85,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,State/geographic setting
place__idaho_falls,Idaho Falls,Place,candidate,72,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,Early childhood and later family setting
place__utah,Utah,Place,candidate,71,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,State/geographic setting
place__uruguay,Uruguay,Place,candidate,61,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,Foreign service post
place__virginia,Virginia,Place,candidate,40,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,State/geographic setting
place__arizona,Arizona,Place,candidate,39,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,State/geographic setting
place__california,California,Place,candidate,38,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,State/geographic setting
place__montevideo,Montevideo,Place,candidate,38,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,Foreign service post
place__mclean_virginia,McLean Virginia,Place,candidate,35,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,Virginia home years
place__mesa,Mesa,Place,candidate,26,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,Arizona childhood period
place__salt_lake_city,Salt Lake City,Place,candidate,26,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,Work church college and family setting
place__japan,Japan,Place,candidate,24,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,Pacific theater
place__boston,Boston,Place,candidate,20,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,Shipyard and historical sites
place__logan,Logan,Place,candidate,20,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,Utah family and church context
place__salmon,Salmon,Place,candidate,20,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,Idaho family visit location
place__pearl_harbor,Pearl Harbor,Place,candidate,19,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,Pacific theater / war memory
place__vietnam,Vietnam,Place,candidate,19,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,Later name for Indochina
place__bremerton,Bremerton,Place,candidate,18,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,Ship repair location
place__corpus_christi,Corpus Christi,Place,candidate,18,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,Naval training
place__pomona,Pomona,Place,candidate,18,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,California teenage period
place__philippines,Philippines,Place,candidate,16,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,Richard and WWII context
place__providence,Providence,Place,candidate,16,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,Ancestor research setting
place__san_francisco,San Francisco,Place,candidate,16,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,Worlds Fair and naval training
place__philippine_islands,Philippine Islands,Place,candidate,15,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,Richard and WWII context
place__treasure_island,Treasure Island,Place,candidate,15,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,Worlds Fair and boot camp
place__quonset_point,Quonset Point,Place,candidate,14,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,Naval assignment
place__south_china_sea,South China Sea,Place,candidate,14,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,Pacific theater
place__concord,Concord,Place,candidate,13,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,American Revolution site
place__hawaii,Hawaii,Place,candidate,13,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,Pacific theater
place__rhode_island,Rhode Island,Place,candidate,13,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,State/geographic setting
place__balboa_beach,Balboa Beach,Place,candidate,12,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,School outing
place__bunker_hill,Bunker Hill,Place,candidate,12,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,American Revolution site
place__caribbean,Caribbean,Place,candidate,12,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,Shakedown cruise
place__clarkston,Clarkston,Place,candidate,12,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,Martin Harris grave site
place__indochina,Indochina,Place,candidate,12,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,Pacific theater historical setting
place__lexington,Lexington,Place,candidate,12,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,American Revolution site
place__lone_pine,Lone Pine,Place,candidate,12,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,Homestead area east of Idaho Falls
place__marcus_island,Marcus Island,Place,candidate,12,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,Pacific theater
place__marianas_islands,Marianas Islands,Place,candidate,12,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,Pacific theater
place__panama_canal,Panama Canal,Place,candidate,12,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,Naval transit
place__san_diego,San Diego,Place,candidate,12,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,Naval transit
place__soda_springs,Soda Springs,Place,candidate,12,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,Idaho trip location
place__teton_mountains,Teton Mountains,Place,candidate,12,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,Mountain setting near Victor
place__tooele,Tooele,Place,candidate,12,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,Utah family stop en route
place__victor,Victor,Place,candidate,12,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,seed_gazetteer,Idaho pea picking location
unclassified__united_states,United States,Unclassified,candidate,9,1; 2; 4; 5; 6; 7; 9; 11; 12,capitalized_phrase_regex,"Capitalized phrase candidate. Review manually and classify as Person, Place, Organization, Event, or discard."
unclassified__new_york,New York,Unclassified,candidate,7,1; 4; 5; 6; 7; 8; 12,capitalized_phrase_regex,"Capitalized phrase candidate. Review manually and classify as Person, Place, Organization, Event, or discard."
unclassified__soviet_union,Soviet Union,Unclassified,candidate,7,4; 5; 6; 7; 8; 9; 12,capitalized_phrase_regex,"Capitalized phrase candidate. Review manually and classify as Person, Place, Organization, Event, or discard."
unclassified__in_august,In August,Unclassified,candidate,6,2; 5; 6; 7; 11; 12,capitalized_phrase_regex,"Capitalized phrase candidate. Review manually and classify as Person, Place, Organization, Event, or discard."
unclassified__rhoda_jones,Rhoda Jones,Unclassified,candidate,6,4; 6; 7; 8; 11; 12,capitalized_phrase_regex,"Capitalized phrase candidate. Review manually and classify as Person, Place, Organization, Event, or discard."
unclassified__sunday_school,Sunday School,Unclassified,candidate,6,2; 5; 8; 9; 11; 12,capitalized_phrase_regex,"Capitalized phrase candidate. Review manually and classify as Person, Place, Organization, Event, or discard."
