source_record_id,assigned_chapter,chapter_title,year,snippet
4,4,My College Years BYU and Colombia,1953,"ia 7 GHAPTER FOUR My College Years BYU And Columbic | CHAPTER FOUR PART ONE It didn't take long to start running into my old high school friends most of whom were also back from the war. One of the girls that I knew, named Rayola Smith, dau"
5,5,The CIA,1835,"CHAPTER FIVE PART ONE This next part will be devoted to the period of time that I was employed at the Central Intelligence Agency. The C.I.A. was chartered in 1947 and was an outgrowth of the Office of Strategic Services, the military intel"
5,5,The CIA,1845,"CHAPTER FIVE PART ONE This next part will be devoted to the period of time that I was employed at the Central Intelligence Agency. The C.I.A. was chartered in 1947 and was an outgrowth of the Office of Strategic Services, the military intel"
5,5,The CIA,1860,"CHAPTER FIVE PART ONE This next part will be devoted to the period of time that I was employed at the Central Intelligence Agency. The C.I.A. was chartered in 1947 and was an outgrowth of the Office of Strategic Services, the military intel"
5,5,The CIA,1882,"CHAPTER FIVE PART ONE This next part will be devoted to the period of time that I was employed at the Central Intelligence Agency. The C.I.A. was chartered in 1947 and was an outgrowth of the Office of Strategic Services, the military intel"
5,5,The CIA,1936,"CHAPTER FIVE PART ONE This next part will be devoted to the period of time that I was employed at the Central Intelligence Agency. The C.I.A. was chartered in 1947 and was an outgrowth of the Office of Strategic Services, the military intel"
5,5,The CIA,1939,"CHAPTER FIVE PART ONE This next part will be devoted to the period of time that I was employed at the Central Intelligence Agency. The C.I.A. was chartered in 1947 and was an outgrowth of the Office of Strategic Services, the military intel"
5,5,The CIA,1943,"CHAPTER FIVE PART ONE This next part will be devoted to the period of time that I was employed at the Central Intelligence Agency. The C.I.A. was chartered in 1947 and was an outgrowth of the Office of Strategic Services, the military intel"
5,5,The CIA,1947,"CHAPTER FIVE PART ONE This next part will be devoted to the period of time that I was employed at the Central Intelligence Agency. The C.I.A. was chartered in 1947 and was an outgrowth of the Office of Strategic Services, the military intel"
5,5,The CIA,1950,"CHAPTER FIVE PART ONE This next part will be devoted to the period of time that I was employed at the Central Intelligence Agency. The C.I.A. was chartered in 1947 and was an outgrowth of the Office of Strategic Services, the military intel"
5,5,The CIA,1951,"CHAPTER FIVE PART ONE This next part will be devoted to the period of time that I was employed at the Central Intelligence Agency. The C.I.A. was chartered in 1947 and was an outgrowth of the Office of Strategic Services, the military intel"
5,5,The CIA,1952,"CHAPTER FIVE PART ONE This next part will be devoted to the period of time that I was employed at the Central Intelligence Agency. The C.I.A. was chartered in 1947 and was an outgrowth of the Office of Strategic Services, the military intel"
5,5,The CIA,1953,"CHAPTER FIVE PART ONE This next part will be devoted to the period of time that I was employed at the Central Intelligence Agency. The C.I.A. was chartered in 1947 and was an outgrowth of the Office of Strategic Services, the military intel"
5,5,The CIA,1954,"CHAPTER FIVE PART ONE This next part will be devoted to the period of time that I was employed at the Central Intelligence Agency. The C.I.A. was chartered in 1947 and was an outgrowth of the Office of Strategic Services, the military intel"
5,5,The CIA,1955,"CHAPTER FIVE PART ONE This next part will be devoted to the period of time that I was employed at the Central Intelligence Agency. The C.I.A. was chartered in 1947 and was an outgrowth of the Office of Strategic Services, the military intel"
6,6,Montevideo Uruguay,1930,"| GHAPTER SIX | Montevideo, Uruguay “ CHAPTER SIX RETURN TO HEADQUARTERS PART ONE Upon my return to Headquarters I was assigned to be the Deputy Chief of SR/2. This component of the SR(Soviet Russia) Division was responsible for providing H"
6,6,Montevideo Uruguay,1940,"| GHAPTER SIX | Montevideo, Uruguay “ CHAPTER SIX RETURN TO HEADQUARTERS PART ONE Upon my return to Headquarters I was assigned to be the Deputy Chief of SR/2. This component of the SR(Soviet Russia) Division was responsible for providing H"
6,6,Montevideo Uruguay,1950,"| GHAPTER SIX | Montevideo, Uruguay “ CHAPTER SIX RETURN TO HEADQUARTERS PART ONE Upon my return to Headquarters I was assigned to be the Deputy Chief of SR/2. This component of the SR(Soviet Russia) Division was responsible for providing H"
6,6,Montevideo Uruguay,1955,"| GHAPTER SIX | Montevideo, Uruguay “ CHAPTER SIX RETURN TO HEADQUARTERS PART ONE Upon my return to Headquarters I was assigned to be the Deputy Chief of SR/2. This component of the SR(Soviet Russia) Division was responsible for providing H"
6,6,Montevideo Uruguay,1956,"| GHAPTER SIX | Montevideo, Uruguay “ CHAPTER SIX RETURN TO HEADQUARTERS PART ONE Upon my return to Headquarters I was assigned to be the Deputy Chief of SR/2. This component of the SR(Soviet Russia) Division was responsible for providing H"
6,6,Montevideo Uruguay,1957,"| GHAPTER SIX | Montevideo, Uruguay “ CHAPTER SIX RETURN TO HEADQUARTERS PART ONE Upon my return to Headquarters I was assigned to be the Deputy Chief of SR/2. This component of the SR(Soviet Russia) Division was responsible for providing H"
6,6,Montevideo Uruguay,1958,"| GHAPTER SIX | Montevideo, Uruguay “ CHAPTER SIX RETURN TO HEADQUARTERS PART ONE Upon my return to Headquarters I was assigned to be the Deputy Chief of SR/2. This component of the SR(Soviet Russia) Division was responsible for providing H"
6,6,Montevideo Uruguay,1959,"| GHAPTER SIX | Montevideo, Uruguay “ CHAPTER SIX RETURN TO HEADQUARTERS PART ONE Upon my return to Headquarters I was assigned to be the Deputy Chief of SR/2. This component of the SR(Soviet Russia) Division was responsible for providing H"
6,6,Montevideo Uruguay,1969,"| GHAPTER SIX | Montevideo, Uruguay “ CHAPTER SIX RETURN TO HEADQUARTERS PART ONE Upon my return to Headquarters I was assigned to be the Deputy Chief of SR/2. This component of the SR(Soviet Russia) Division was responsible for providing H"
6,6,Montevideo Uruguay,1982,"| GHAPTER SIX | Montevideo, Uruguay “ CHAPTER SIX RETURN TO HEADQUARTERS PART ONE Upon my return to Headquarters I was assigned to be the Deputy Chief of SR/2. This component of the SR(Soviet Russia) Division was responsible for providing H"
7,7,Headquarters Duty,1950,GHAPTER SEVEN Headquarters Duty CHAPTER SEVEN We spent a little time in California but the majority of it in Utah where it was a cold 14 degrees most of the time. While there we had the opportunity to visit and have dinner with the Lee's an
7,7,Headquarters Duty,1960,GHAPTER SEVEN Headquarters Duty CHAPTER SEVEN We spent a little time in California but the majority of it in Utah where it was a cold 14 degrees most of the time. While there we had the opportunity to visit and have dinner with the Lee's an
7,7,Headquarters Duty,1961,GHAPTER SEVEN Headquarters Duty CHAPTER SEVEN We spent a little time in California but the majority of it in Utah where it was a cold 14 degrees most of the time. While there we had the opportunity to visit and have dinner with the Lee's an
7,7,Headquarters Duty,1962,GHAPTER SEVEN Headquarters Duty CHAPTER SEVEN We spent a little time in California but the majority of it in Utah where it was a cold 14 degrees most of the time. While there we had the opportunity to visit and have dinner with the Lee's an
7,7,Headquarters Duty,1963,GHAPTER SEVEN Headquarters Duty CHAPTER SEVEN We spent a little time in California but the majority of it in Utah where it was a cold 14 degrees most of the time. While there we had the opportunity to visit and have dinner with the Lee's an
7,7,Headquarters Duty,1964,GHAPTER SEVEN Headquarters Duty CHAPTER SEVEN We spent a little time in California but the majority of it in Utah where it was a cold 14 degrees most of the time. While there we had the opportunity to visit and have dinner with the Lee's an
7,7,Headquarters Duty,1965,GHAPTER SEVEN Headquarters Duty CHAPTER SEVEN We spent a little time in California but the majority of it in Utah where it was a cold 14 degrees most of the time. While there we had the opportunity to visit and have dinner with the Lee's an
8,8,Rio De Janeiro,1965,"GHAPTER LIGHT Rio de Janeiro CHAPTER EIGHT PART ONE Both Sedoff and I were assigned to Rio de Janeiro station effective at the end of the fiscal year, June 30, 1965. I commenced the study of the Portuguese language full time upon our return"
8,8,Rio De Janeiro,1966,"GHAPTER LIGHT Rio de Janeiro CHAPTER EIGHT PART ONE Both Sedoff and I were assigned to Rio de Janeiro station effective at the end of the fiscal year, June 30, 1965. I commenced the study of the Portuguese language full time upon our return"
8,8,Rio De Janeiro,1988,"GHAPTER LIGHT Rio de Janeiro CHAPTER EIGHT PART ONE Both Sedoff and I were assigned to Rio de Janeiro station effective at the end of the fiscal year, June 30, 1965. I commenced the study of the Portuguese language full time upon our return"
9,9,The McLean Va. Years,1964,"GHAPTER NINE _ The McLean, Vc. Years “ "" ET CHAPTER NINE After returning from home leave we had to go through the usual trauma of getting lodging. We had sold our house in Fairfax, Virginia before we left for Rio de Janeiro so we had to fin"
9,9,The McLean Va. Years,1968,"GHAPTER NINE _ The McLean, Vc. Years “ "" ET CHAPTER NINE After returning from home leave we had to go through the usual trauma of getting lodging. We had sold our house in Fairfax, Virginia before we left for Rio de Janeiro so we had to fin"
10,10,Making a Career Change,1968,"GHAPTER TEN Making a Coreer Change CHAPTER TEN This was the year that I made a major career change, SO I am interrupting the narrative to devote Space to my five years (1968 - 1973) in the Personnel Management Staff, which eventually become"
10,10,Making a Career Change,1969,"GHAPTER TEN Making a Coreer Change CHAPTER TEN This was the year that I made a major career change, SO I am interrupting the narrative to devote Space to my five years (1968 - 1973) in the Personnel Management Staff, which eventually become"
10,10,Making a Career Change,1971,"GHAPTER TEN Making a Coreer Change CHAPTER TEN This was the year that I made a major career change, SO I am interrupting the narrative to devote Space to my five years (1968 - 1973) in the Personnel Management Staff, which eventually become"
10,10,Making a Career Change,1972,"GHAPTER TEN Making a Coreer Change CHAPTER TEN This was the year that I made a major career change, SO I am interrupting the narrative to devote Space to my five years (1968 - 1973) in the Personnel Management Staff, which eventually become"
10,10,Making a Career Change,1973,"GHAPTER TEN Making a Coreer Change CHAPTER TEN This was the year that I made a major career change, SO I am interrupting the narrative to devote Space to my five years (1968 - 1973) in the Personnel Management Staff, which eventually become"
11,11,Post Rio to Retirement,1955,GHAPTER ELEVEN Post-Rio to Retirement CHAPTER ELEVEN I'll return now to about 1968 and include some of the activities in which our family was engaged during the period of time that I was in the Personnel Management Staff as related in the f
11,11,Post Rio to Retirement,1968,GHAPTER ELEVEN Post-Rio to Retirement CHAPTER ELEVEN I'll return now to about 1968 and include some of the activities in which our family was engaged during the period of time that I was in the Personnel Management Staff as related in the f
11,11,Post Rio to Retirement,1969,GHAPTER ELEVEN Post-Rio to Retirement CHAPTER ELEVEN I'll return now to about 1968 and include some of the activities in which our family was engaged during the period of time that I was in the Personnel Management Staff as related in the f
11,11,Post Rio to Retirement,1970,GHAPTER ELEVEN Post-Rio to Retirement CHAPTER ELEVEN I'll return now to about 1968 and include some of the activities in which our family was engaged during the period of time that I was in the Personnel Management Staff as related in the f
11,11,Post Rio to Retirement,1971,GHAPTER ELEVEN Post-Rio to Retirement CHAPTER ELEVEN I'll return now to about 1968 and include some of the activities in which our family was engaged during the period of time that I was in the Personnel Management Staff as related in the f
11,11,Post Rio to Retirement,1972,GHAPTER ELEVEN Post-Rio to Retirement CHAPTER ELEVEN I'll return now to about 1968 and include some of the activities in which our family was engaged during the period of time that I was in the Personnel Management Staff as related in the f
11,11,Post Rio to Retirement,1973,GHAPTER ELEVEN Post-Rio to Retirement CHAPTER ELEVEN I'll return now to about 1968 and include some of the activities in which our family was engaged during the period of time that I was in the Personnel Management Staff as related in the f
11,11,Post Rio to Retirement,1974,GHAPTER ELEVEN Post-Rio to Retirement CHAPTER ELEVEN I'll return now to about 1968 and include some of the activities in which our family was engaged during the period of time that I was in the Personnel Management Staff as related in the f
11,11,Post Rio to Retirement,1975,GHAPTER ELEVEN Post-Rio to Retirement CHAPTER ELEVEN I'll return now to about 1968 and include some of the activities in which our family was engaged during the period of time that I was in the Personnel Management Staff as related in the f
