entity_id,canonical_entity,entity_type,review_status,total_count,chapters,extraction_methods,notes
organization_place_alexandria_ward,Alexandria Ward,Organization/Place,accepted,7,5; 6; 7; 11,seed_phrase,LDS ward; also local place/community context. Includes OCR variant Alexandia.
place_new_york_city,New York City,Place,candidate,7,4; 6; 9,seed_phrase,Curated from unclassified list.
date__1947,1947,Date,candidate,6,4; 5,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
place_logan,Logan,Place,,6,1; 2; 3,seed_phrase,Utah family and church context
place_vietnam,Vietnam,Place,,6,3; 8; 9; 11,seed_phrase,Later name for Indochina
date__1932,1932,Date,candidate,5,1; 4,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1940,1940,Date,candidate,5,1; 2; 6,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1942,1942,Date,candidate,5,2; 3,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1952,1952,Date,candidate,5,4; 5,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1959,1959,Date,candidate,5,6,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1960,1960,Date,candidate,5,7,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1963,1963,Date,candidate,5,7,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1969,1969,Date,candidate,5,6; 10; 11,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1971,1971,Date,candidate,5,10; 11,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
organization_clandestine_services,Clandestine Services,Organization,accepted,5,5; 9; 10,seed_phrase,CIA organizational unit/context.
person_franklin_d_roosevelt,Franklin D. Roosevelt,Person,,5,1; 3; 4,seed_phrase,U.S. President historical context
person_rhoda_jones,Rhoda Jones,Person,accepted,5,4; 6; 7; 8; 11,seed_phrase,Person candidate from memoir.
place_boston,Boston,Place,,5,3,seed_phrase,Shipyard and historical sites
place_corpus_christi,Corpus Christi,Place,,5,2; 3; 8,seed_phrase,Naval training
place_falls_church,Falls Church,Place,accepted,5,5; 7,seed_phrase,Place in Virginia/DC area context.
place_pearl_harbor,Pearl Harbor,Place,,5,2; 3,seed_phrase,Pacific theater / war memory
place_salmon,Salmon,Place,,5,1,seed_phrase,Idaho family visit location
place_shanks_village,Shanks Village,Place,accepted,5,4; 5,seed_phrase,Place candidate from memoir.
date__1929,1929,Date,candidate,4,1,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1930,1930,Date,candidate,4,1; 6,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1943,1943,Date,candidate,4,2; 3; 5,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1946,1946,Date,candidate,4,4,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1949,1949,Date,candidate,4,4,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1956,1956,Date,candidate,4,6,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1958,1958,Date,candidate,4,6,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1962,1962,Date,candidate,4,7,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1964,1964,Date,candidate,4,7; 9,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1970,1970,Date,candidate,4,11,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1972,1972,Date,candidate,4,10; 11,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
organization_personnel_management_staff,Personnel Management Staff,Organization,accepted,4,10; 11,seed_phrase,CIA/internal organization candidate from memoir.
organization_strategic_services,Strategic Services,Organization,accepted,4,4; 5,seed_phrase,Pre-CIA/intelligence organization context.
organization_utah_state_agricultural_college,Utah State Agricultural College,Organization,accepted,4,2; 3,seed_phrase,Institution later known as Utah State University; preserve memoir wording.
person_heber_j_grant,Heber J. Grant,Person,,4,1; 3; 5,seed_phrase,LDS president
person_howard_hunt,Howard Hunt,Person,accepted,4,6; 11,seed_phrase,Person related to CIA/Watergate-era context; preserve exact memoir usage.
person_joseph_smith,Joseph Smith,Person,accepted,4,4; 5; 7,seed_phrase,Religious/historical person.
person_julian_lowe,Julian Lowe,Person,accepted,4,7; 8; 11,seed_phrase,Person candidate from memoir.
person_richard_m_nixon,Richard M. Nixon,Person,accepted,4,4; 6; 8; 9,seed_phrase,Historical person/president reference.
place_bremerton,Bremerton,Place,,4,3,seed_phrase,Ship repair location
place_philippines,Philippines,Place,,4,1; 2; 3,seed_phrase,Richard and WWII context
place_pomona,Pomona,Place,,4,2,seed_phrase,California teenage period
place_san_francisco,San Francisco,Place,,4,2; 3; 4,seed_phrase,Worlds Fair and naval training
date__1934,1934,Date,candidate,3,1; 2,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1941,1941,Date,candidate,3,2,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1988,1988,Date,candidate,3,2; 8,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
organization_central_intelligence_agency,Central Intelligence Agency,Organization,,3,4; 5; 7,seed_phrase,Career institution
organization_state_department,State Department,Organization,accepted,3,5; 8; 9,seed_phrase,Government organization.
organization_western_electric,Western Electric,Organization,,3,2,seed_phrase,Pre-war employer
organization_place_arlington_ward,Arlington Ward,Organization/Place,accepted,3,7; 11,seed_phrase,LDS ward; organization/place hybrid.
organization_place_soviet_embassy,Soviet Embassy,Organization/Place,accepted,3,7; 8,seed_phrase,Embassy can function as institution and location.
person_dwight_d_eisenhower,Dwight D. Eisenhower,Person,accepted,3,4; 9,seed_phrase,Historical person/president reference.
person_jack_kelley,Jack Kelley,Person,,3,2,seed_phrase,Friend
person_joyce_mcneill,Joyce McNeill,Person,,3,2,seed_phrase,First wife
person_martin_harris,Martin Harris,Person,,3,2; 4; 5,seed_phrase,Great grandfather / LDS history
place_far_east,Far East,Place,accepted,3,3; 5; 6,seed_phrase,Regional place term used in historical/institutional context.
place_los_angeles,Los Angeles,Place,accepted,3,9; 11,seed_phrase,Place candidate from memoir.
place_philippine_islands,Philippine Islands,Place,,3,1; 3,seed_phrase,Richard and WWII context
place_providence,Providence,Place,,3,3,seed_phrase,Ancestor research setting
place_sao_paulo,Sao Paulo,Place,accepted,3,8; 9,seed_phrase,Place; include accented variant.
place_treasure_island,Treasure Island,Place,,3,2; 3,seed_phrase,Worlds Fair and boot camp
date__1924,1924,Date,candidate,2,1,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1926,1926,Date,candidate,2,1,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1927,1927,Date,candidate,2,1,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1936,1936,Date,candidate,2,2; 5,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1957,1957,Date,candidate,2,6,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
event_vietnam_war,Vietnam War,Event,accepted,2,9; 11,seed_phrase,Historical event/context.
organization_first_presidency,First Presidency,Organization,candidate,2,5; 11,seed_phrase,Church leadership body.
organization_u_s_navy,U.S. Navy,Organization,,2,3,seed_phrase,Military service
organization_place_arizona_temple,Arizona Temple,Organization/Place,,2,1,seed_phrase,Temple context
organization_place_idaho_falls_temple,Idaho Falls Temple,Organization/Place,,2,1,seed_phrase,Temple context
person_dottie_burton,Dottie Burton,Person,accepted,2,6; 8,seed_phrase,Person candidate from memoir.
person_harold_price,Harold Price,Person,,2,2; 4,seed_phrase,Friend
person_howard_hughes,Howard Hughes,Person,accepted,2,4; 5,seed_phrase,Historical person/candidate from memoir.
person_joe_dunn,Joe Dunn,Person,accepted,2,5; 6,seed_phrase,Person candidate from memoir.
person_lyndon_johnson,Lyndon Johnson,Person,accepted,2,7; 9,seed_phrase,Historical person/president reference.
person_martin_luther_king,Martin Luther King,Person,accepted,2,9; 11,seed_phrase,Historical person reference.
person_melvin_olsen,Melvin Olsen,Person,,2,2,seed_phrase,Friend
person_solomon_webster_harris,Solomon Webster Harris,Person,,2,1; 4,seed_phrase,Grandfather/family history
person_spencer_w_kimball,Spencer W. Kimball,Person,,2,1; 6,seed_phrase,LDS church leader
person_wendell_thorne,Wendell Thorne,Person,accepted,2,5; 11,seed_phrase,Person candidate from memoir.
place_atlantic_ocean,Atlantic Ocean,Place,candidate,2,1; 3,seed_phrase,Curated from unclassified list.
place_concord,Concord,Place,,2,2; 3,seed_phrase,American Revolution site
place_hawaii,Hawaii,Place,,2,2; 3,seed_phrase,Pacific theater
place_hill_cumorah,Hill Cumorah,Place,candidate,2,7; 11,seed_phrase,Curated from unclassified list.
place_kansas_city,Kansas City,Place,accepted,2,5; 11,seed_phrase,Place candidate from memoir.
place_quonset_point,Quonset Point,Place,,2,3,seed_phrase,Naval assignment
place_rhode_island,Rhode Island,Place,,2,2; 3,seed_phrase,State/geographic setting
place_sable_drive,Sable Drive,Place,accepted,2,5; 7,seed_phrase,Address/place reference candidate.
place_south_china_sea,South China Sea,Place,,2,3,seed_phrase,Pacific theater
date__1835,1835,Date,candidate,1,5,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1845,1845,Date,candidate,1,5,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1860,1860,Date,candidate,1,5,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1882,1882,Date,candidate,1,5,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1916,1916,Date,candidate,1,1,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1917,1917,Date,candidate,1,1,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1918,1918,Date,candidate,1,1,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1928,1928,Date,candidate,1,1,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1933,1933,Date,candidate,1,1,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1935,1935,Date,candidate,1,1,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1937,1937,Date,candidate,1,2,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1944,1944,Date,candidate,1,3,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1951,1951,Date,candidate,1,5,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1975,1975,Date,candidate,1,11,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1977,1977,Date,candidate,1,1,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1980,1980,Date,candidate,1,2,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1982,1982,Date,candidate,1,6,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1986,1986,Date,candidate,1,3,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
event_american_revolution,American Revolution,Event,accepted,1,3,seed_phrase,Historical reference/event context.
organization_american_university,American University,Organization,accepted,1,11,seed_phrase,Educational institution.
organization_brigham_young_university,Brigham Young University,Organization,,1,4,seed_phrase,College years
organization_church_of_jesus_christ_of_latter_day_saints,Church of Jesus Christ of Latter-day Saints,Organization,,1,1,seed_phrase,Religious institution
organization_communications_workers_of_america,Communications Workers of America,Organization,,1,2,seed_phrase,Union
organization_eastside_grammar_school,Eastside Grammar School,Organization,,1,1,seed_phrase,School
organization_lincoln_school,Lincoln School,Organization,,1,1,seed_phrase,School
organization_mountain_states_telephone_and_telegraph,Mountain States Telephone and Telegraph,Organization,,1,2,seed_phrase,Telephone company context
organization_pomona_high_school,Pomona High School,Organization,,1,2,seed_phrase,School
organization_presiding_bishop_s_office,Presiding Bishop's Office,Organization,,1,2,seed_phrase,LDS church office
organization_riverside_grammar_school,Riverside Grammar School,Organization,,1,2,seed_phrase,School
organization_place_mesa_temple,Mesa Temple,Organization/Place,,1,1,seed_phrase,Temple context
person_al_harris,Al Harris,Person,,1,2,seed_phrase,Brother-in-law
person_anthony_w_ivins,Anthony W. Ivins,Person,,1,1,seed_phrase,LDS church leader
person_carmen_stevens,Carmen Stevens,Person,,1,1,seed_phrase,Short form for Maria del Carmen Stevens
person_clifford,Clifford,Person,,1,1,seed_phrase,Adopted son of Sol and Sarah
person_cyd_charisse,Cyd Charisse,Person,,1,3,seed_phrase,Actor/dancer reference
person_david_o_mckay,David O. McKay,Person,,1,1,seed_phrase,LDS church leader
person_elwood_heiner,Elwood Heiner,Person,,1,2,seed_phrase,Elders quorum president
person_george_albert_smith,George Albert Smith,Person,,1,1,seed_phrase,LDS church leader
person_george_f_richards,George F. Richards,Person,,1,1,seed_phrase,LDS church leader
person_harry_truman,Harry Truman,Person,,1,3,seed_phrase,U.S. President historical context
person_heber_austin,Heber Austin,Person,,1,2,seed_phrase,Stake president
person_herbert_hoover,Herbert Hoover,Person,,1,1,seed_phrase,U.S. President historical context
person_j_golden_kimball,J. Golden Kimball,Person,,1,1,seed_phrase,LDS church leader
person_john_s_mccain,John S. McCain,Person,,1,3,seed_phrase,Admiral WWII context
person_joseph_fielding_smith,Joseph Fielding Smith,Person,,1,1,seed_phrase,LDS church leader
person_lester_allan_harris,Lester Allan Harris,Person,,1,2,seed_phrase,Brother-in-law full name
person_louis_f_nuffer,Louis F. Nuffer,Person,,1,2,seed_phrase,Bishop/teacher
person_lucy_guyaz,Lucy Guyaz,Person,,1,1,seed_phrase,Aunt/family member
person_maria_del_carmen_stevens,Maria del Carmen Stevens,Person,,1,1,seed_phrase,Richard's wife
person_mary_anderson,Mary Anderson,Person,,1,1,seed_phrase,Family source
person_maryette_rice_harris_standley,Maryette Rice Harris Standley,Person,,1,1,seed_phrase,Grandmother/family history
person_nathan_harris,Nathan Harris,Person,,1,1,seed_phrase,Cousin/lawyer story
person_raymond_spruance,Raymond Spruance,Person,,1,3,seed_phrase,Admiral WWII context
person_reed_smoot,Reed Smoot,Person,,1,1,seed_phrase,Senator/church figure historical context
person_reuel_neilson,Reuel Neilson,Person,,1,2,seed_phrase,Friend
person_richard_r_lyman,Richard R. Lyman,Person,,1,1,seed_phrase,LDS church leader
person_roger_williams,Roger Williams,Person,,1,3,seed_phrase,Providence historical reference
person_rudger_clawson,Rudger Clawson,Person,,1,1,seed_phrase,LDS church leader
person_solomon_r_harris,Solomon R. Harris,Person,,1,1,seed_phrase,Uncle/family member
person_stephen_l_richards,Stephen L. Richards,Person,,1,1,seed_phrase,LDS church leader
person_sylvester_q_cannon,Sylvester Q. Cannon,Person,,1,1,seed_phrase,LDS church leader
person_t_j_hurley,T. J. Hurley,Person,,1,2,seed_phrase,Western Electric boss
person_tony_martin,Tony Martin,Person,,1,3,seed_phrase,Singer/naval training reference
person_tyrone_power,Tyrone Power,Person,,1,3,seed_phrase,Actor/naval instructor reference
person_vern_l_brown,Vern L. Brown,Person,,1,2,seed_phrase,Bishopric member
person_wiley_snarr,Wiley Snarr,Person,,1,2,seed_phrase,Farm employer/church connection
person_wilmer_norton,Wilmer Norton,Person,,1,2,seed_phrase,Friend
place_balboa_beach,Balboa Beach,Place,,1,2,seed_phrase,School outing
place_bunker_hill,Bunker Hill,Place,,1,3,seed_phrase,American Revolution site
place_caribbean,Caribbean,Place,,1,3,seed_phrase,Shakedown cruise
place_clarkston,Clarkston,Place,,1,2,seed_phrase,Martin Harris grave site
place_lexington,Lexington,Place,,1,3,seed_phrase,American Revolution site
place_lone_pine,Lone Pine,Place,,1,1,seed_phrase,Homestead area east of Idaho Falls
place_marcus_island,Marcus Island,Place,,1,3,seed_phrase,Pacific theater
place_marianas_islands,Marianas Islands,Place,,1,3,seed_phrase,Pacific theater
place_panama_canal,Panama Canal,Place,,1,3,seed_phrase,Naval transit
place_san_diego,San Diego,Place,,1,3,seed_phrase,Naval transit
place_soda_springs,Soda Springs,Place,,1,2,seed_phrase,Idaho trip location
place_teton_mountains,Teton Mountains,Place,,1,2,seed_phrase,Mountain setting near Victor
place_tooele,Tooele,Place,,1,1,seed_phrase,Utah family stop en route
place_victor,Victor,Place,,1,2,seed_phrase,Idaho pea picking location
